id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
ZNF114,4,0.15605,0.25842,0.999996,295,2,-0.024239,0.57281,0.59938,0.999996,710,1,-0.024239,4,0.78748,0.78928,0.999996,1018,0,0.26468,0.025549,0.065316,0.982568,88,3,0.26468,4,2.06E-04,8.54E-04,0.031175,37,4,-0.26625,0.99979,0.99981,0.999996,1322,0,-0.26625
ZNF320,4,0.16685,0.27186,0.999996,309,2,-0.023154,0.57398,0.6003,0.999996,711,1,-0.023154,4,0.11969,0.21282,0.999996,270,2,-0.021038,0.17382,0.2832,0.999996,319,2,-0.021038,4,0.20337,0.34359,0.999996,398,2,-0.080038,0.7554,0.77068,0.999996,916,1,-0.080038
TAL2,4,0.92684,0.92721,0.999996,1181,0,0.047736,0.57437,0.60057,0.999996,712,1,0.047736,4,0.53611,0.57072,0.999996,713,1,0.15491,0.19264,0.30564,0.999996,347,2,0.15491,4,0.90054,0.90033,0.999996,1109,0,0.016721,0.24479,0.39603,0.999996,460,2,0.016721
LCOR,4,0.16254,0.26661,0.999996,303,1,0.045389,0.57476,0.60083,0.999996,713,1,0.045389,4,0.0027994,0.010425,0.41424,34,2,-0.35191,0.1156,0.21276,0.999996,232,1,-0.35191,4,0.55164,0.6389,0.999996,714,1,0.12039,0.044456,0.11174,0.898603,168,3,0.12039
NRF1,4,0.02978,0.074323,0.809765,124,3,-0.17293,0.57593,0.60155,0.999996,714,1,-0.17293,4,0.79457,0.79643,0.999996,1028,0,-0.062248,0.39106,0.49335,0.999996,616,1,-0.062248,4,0.0040224,0.014104,0.257493,74,3,-0.27847,0.7202,0.74695,0.999996,882,1,-0.27847
HEY1,4,0.45612,0.52072,0.999996,587,1,0.021508,0.57632,0.60184,0.999996,715,1,0.021508,4,0.808,0.81041,0.999996,1047,0,-0.10497,0.96921,0.96916,0.999996,1279,0,-0.10497,4,0.71934,0.73635,0.999996,833,1,-0.025669,0.4361,0.58197,0.999996,676,1,-0.025669
IL17A,4,0.81226,0.8149,0.999996,1009,0,0.023576,0.57748,0.60254,0.999996,716,1,0.023576,4,0.88553,0.8866,0.999996,1142,0,0.089642,0.25736,0.38191,0.999996,458,2,0.089642,4,0.93878,0.93855,0.999996,1175,0,0.12387,0.064649,0.15013,0.999996,201,3,0.12387
KLF11,4,0.81644,0.81915,0.999996,1015,0,-0.03402,0.57865,0.60337,0.999996,717,1,-0.03402,4,0.079983,0.16486,0.999996,210,1,0.028855,0.28362,0.41303,0.999996,504,1,0.028855,4,0.90866,0.90841,0.999996,1126,0,0.0015707,0.87352,0.87364,0.999996,1076,0,0.0015707
BTNL10,4,0.54886,0.58034,0.999996,675,1,0.041519,0.5798,0.60421,0.999996,718,1,0.041519,4,0.21379,0.32799,0.999996,414,1,0.38115,0.0087297,0.027867,0.6605,57,3,0.38115,4,0.55245,0.6393,0.999996,715,1,0.098575,0.14962,0.29985,0.999996,359,2,0.098575
AGPAT1,4,0.10747,0.19848,0.999996,231,2,-0.12299,0.58058,0.60484,0.999996,719,1,-0.12299,4,0.96552,0.96586,0.999996,1273,0,0.18974,0.19351,0.30669,0.999996,349,2,0.18974,4,0.24119,0.38269,0.999996,437,2,-0.078731,0.96596,0.96563,0.999996,1228,0,-0.078731
