gene_name,safe,efficacy,window_rank,ot_genetic_supported,ot_genetic_max,ot_genetic_n_diseases,tractable,is_iei,freimer_hit,freimer_min_fdr,freimer_dir,freimer_marker,arce_hit,arce_min_fdr,arce_dir,any_hit
LAMP3,False,0.4178192152971583,1589,False,,,,False,,,,,,,,
DEPDC1,False,0.1806305859903253,1590,False,,,,False,,,,,,,,
CRAT,False,0.4534025641836785,1591,False,,,,False,,,,,,,,
ATP5F1B,False,0.4142538445432884,1592,False,,,,False,,,,,,,,
IFFO2,False,0.1802602739177288,1593,False,,,,False,,,,,,,,
LYRM2,False,0.2067462535638852,1594,False,,,,False,,,,,,,,
GPR68,False,0.1801611048632396,1595,False,,,,False,,,,,,,,
MAN2B2,False,0.6395976357399473,1596,False,,,,True,,,,,,,,
TOR1AIP2,False,0.1801341398273005,1597,False,,,,False,,,,,,,,
WSB2,False,0.1801184731571718,1598,False,,,,False,,,,,,,,
PARP11,False,0.1787521245505739,1599,False,,,,False,,,,,,,,
VLDLR,False,0.837480166952973,1600,False,,,,False,,,,,,,,
AKAP5,False,0.599568163439457,1601,False,,,,False,,,,,,,,
ALG9,False,0.1781012087837155,1602,False,,,,False,,,,,,,,
NIN,False,0.4340038428495536,1603,False,,,,False,,,,,,,,
CYP4V2,False,0.1780668411170687,1604,False,,,,False,,,,,,,,
ECHDC1,False,0.1778067121152813,1605,False,,,,False,,,,,,,,
GOLGA8B,False,0.1776192721183249,1606,False,,,,False,,,,,,,,
UHMK1,False,0.3631417806928178,1607,False,,,,False,,,,,,,,
FUCA1,False,0.1769899684653779,1608,False,,,,False,,,,,,,,
ADAM8,False,0.6713769426629508,1609,False,,,,False,,,,,,,,
TMEM44,False,0.1764706067296229,1610,False,,,,False,,,,,,,,
SETD3,False,0.562689116440377,1611,False,,,,False,,,,,,,,
PARP15,False,0.8706892454881383,1612,False,,,,False,,,,,,,,
HMOX1,False,0.3793407720227198,1613,False,,,,True,,,,,,,,
RSAD1,False,0.2326189207674871,1614,False,,,,False,,,,,,,,
SLC6A6,False,0.1756534243585393,1615,False,,,,False,,,,,,,,
ZNF614,False,0.1756367814675201,1616,False,,,,False,False,0.999996,pos_regulator,IL2,False,0.278015,loss_raises_IL2RA,0.0
RAB7A,False,0.4743024690306818,1617,False,,,,False,,,,,,,,
USP4,False,0.1746926604678679,1618,False,,,,False,,,,,,,,
