gene_name,efficacy,module_suppression,z_induction_matched,z_expression_matched_recovery_control,z_effector_positive_control,in_naive_top100,is_il2_axis
UBE2S,0.07719813461881131,-0.27340272400114274,-3.3434239019883303,-3.549549811994835,1.2707294275408907,False,False
UBE2V1,0.29220787590020336,0.20541468142376593,2.4730926932772164,2.841888024410588,7.534788468157948,False,False
UBE2V2,-0.07180095795774832,0.07448103431508774,0.39304084152644636,0.3482432881215082,-1.9212591582224563,False,False
UBE2W,0.08130254613206489,0.1037976106421815,1.932321294447576,2.521272713022939,3.232379856334247,False,False
UBE2Z,0.011379331641364843,0.3199322608609994,3.6713710188609996,6.854783277112734,0.6084032666034328,False,False
UBE3A,0.08789540287398268,0.13262762212091023,1.8116136554306337,1.9516333024111534,2.625655283895313,False,False
UBE3C,-0.17957249531173147,-0.07684399203086893,-0.9482328584258286,-1.4325338916052763,-3.9113016858981986,False,False
UBE4A,-0.016639643159578554,-0.10973570578628117,-1.5017445799906217,-2.1719797071739326,-0.24108763393811525,False,False
UBE4B,0.0081300893111802,0.41036596418254906,4.069833525397046,5.623301157589666,0.5730589142226077,False,False
UBIAD1,0.35874874924775213,0.30769023922685945,2.373510180553852,3.894819575619879,6.135780054120652,False,False
UBL3,-0.025754102297085524,-0.14612526032659742,-1.6538680395648848,-2.0809887142061814,-1.2034375780965063,False,False
UBL4A,0.16063077619764954,0.05209152648846308,0.5998247615233817,1.2353673706985626,4.911211170117987,False,False
UBL7,0.5760254134365823,0.16344765863484806,1.3818951088796452,2.375434955081102,14.766050589433856,False,False
UBLCP1,0.00043438469583634287,-0.00864542420539591,-0.4236736855482777,-0.5429471481694891,0.6446869990495412,False,False
UBN2,0.34235857240855694,0.28128594822353786,3.071791486363849,3.7879744120250107,5.5835984468440065,False,False
UBQLN1,-0.049147422236274,-0.1513622361752722,-1.641800540733102,-2.05706058160062,-0.8901769287701086,False,False
UBQLN2,0.15411138130002655,0.37209010993440944,3.45586177026691,4.618803644398251,2.773129819190505,False,False
UBQLN4,0.5910305212601088,0.08780847241481145,0.45478924230516526,0.6904075175988296,11.093566685183436,False,False
UBR2,-0.059593160598524264,-0.04748186965783437,-1.1634932498083241,-1.1662581526631755,-3.0765945331961384,False,False
UBR4,1.2487007536692545,0.481422724823157,2.545722401751107,3.3214757574220353,17.526405579977663,True,False
UBR5,0.10288219166977797,0.07228354530202018,0.2828334293246858,0.7508723727989979,1.123386090040253,False,False
UBTD2,0.3510359690462792,0.6108649637964036,2.879098741654464,3.4775181200097385,3.8167779581485752,False,False
UBXN1,0.2201273505925201,-0.1860831073588795,-2.0269300308112492,-2.032561798601208,2.8340386606034302,False,False
UBXN11,0.30498980317497626,0.25803912265433204,2.3640107036338374,3.452472538037973,8.025768925020081,False,False
UBXN2A,0.2146915321866345,0.09084190976702505,0.5597007607743992,0.6215723746046937,5.906521505924187,False,False
UBXN2B,0.3304341007842595,0.18916485810445416,1.407078544205455,2.605391970541416,6.336945694016031,False,False
UBXN4,0.3024228830508946,0.03175445728831821,0.48003126447252825,0.4326272419243913,8.262588102330632,False,False
UBXN6,0.33188306166266557,0.6778374943468306,6.351104454806455,7.693205708951331,7.468778786114356,False,False
UBXN7,-0.22990483819739893,0.09381018372045623,1.1985853478878121,1.1342071508110123,-4.246913947147969,False,False
UBXN8,-0.01746023230953142,0.1545177569819821,2.192583939448011,2.6682157918624965,-0.1595907868101417,False,False
UCHL3,0.15118955681646185,-0.1442795486913787,-1.3810625769309968,-1.6708727985842162,1.6765760581332778,False,False
UCK1,0.06195601723447908,0.30779524623519844,3.5565959413807495,5.451597276556942,2.69472558477425,False,False
UCK2,0.4515704167133663,0.07444428445564376,0.6868273997802322,1.1440417225544037,10.89815054203982,False,False
UCKL1,0.016406062728492543,-0.08672432021962272,-1.4735931523879922,-1.7496979634622893,0.5057589307437712,False,False
UCP2,0.04430779771064408,0.5351689433058103,4.737815530236076,5.89396189272255,-0.056276823134650635,False,False
UEVLD,-0.06136209582473384,0.24502514887394178,2.450360493996281,3.7589657943927977,-1.856957863372548,False,False
UFC1,0.1325789803522639,0.02813445424868001,-0.14394809686089596,-0.18606436602129997,3.5408835336390423,False,False
UFL1,0.3144324447494,0.5142075725727611,3.614805844157711,3.91620927287743,4.543063234698733,False,False
UFM1,0.6961030627862783,0.2119838140077061,1.2079496629969704,1.8703395883016731,13.344043347997108,False,False
