nomination_rank,gene_name,tier,window_rank,viability_tier,ot_genetic_max,ot_genetic_supported,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,tractable,sm_pocket,clinical_precedent,il2_hit,selectivity,fail_homeostasis,is_known_drug
101,LCK,3,503,depleting-at-rest,0.0,False,,0.332,3.0248e-07,False,True,True,True,False,1.0845351747772725,True,False
102,PGAP2,3,638,depleting-at-rest,0.032047457642937364,False,0.0,0.872,0.98524,True,True,False,False,False,3.8329797980876927,False,False
103,PTBP1,3,646,depleting-at-rest,0.0,False,,0.249,1.0438e-08,False,True,True,False,False,0.2876820724517808,True,False
104,COQ3,3,648,depleting-at-rest,0.0,False,,1.046,0.92908,True,True,False,False,False,-0.6677579465551258,True,False
105,TFB1M,3,649,non-depleting,0.0,False,,1.1,0.88706,False,False,False,False,False,6.071891796220596,False,False
106,VARS2,3,666,non-depleting,0.0,False,,0.806,0.99994,True,False,False,False,False,3.03844339164704,False,False
107,KMT5B,3,684,non-depleting,0.0,False,,0.19,1.2093e-12,False,True,False,False,False,0.4253208717788617,True,False
108,STRAP,3,694,depleting-at-rest,0.0,False,,0.568,0.15744,False,False,False,False,False,-0.6925594638224872,True,False
109,CASK,3,739,depleting-at-rest,0.0,False,,,,,True,True,False,False,0.3376425117694035,True,False
110,WDR59,3,758,depleting-at-rest,0.06833461394644424,False,0.0,0.905,0.99215,True,False,False,False,False,0.8545706197162835,True,False
111,PPP3R1,3,822,non-depleting,0.0,False,,0.678,0.28323,False,True,True,False,False,5.568344503761097,False,True
112,POLG,3,880,non-depleting,0.0,False,,0.847,0.99955,True,True,True,False,False,3.665436060923996,False,False
113,C1D,3,904,depleting-at-rest,0.0,False,,0.827,0.33444,False,False,False,False,False,0.4760554240242731,True,False
114,PGK1,3,918,depleting-at-rest,0.0,False,,,,,True,True,False,False,-0.0692584404700555,True,False
115,TMED9,3,975,depleting-at-rest,0.0,False,,1.055,0.91812,True,True,False,False,False,-1.1075637550897328,True,False
116,MCM8,3,1003,non-depleting,0.0,False,,0.971,0.94715,True,False,False,False,False,2.164163715075331,True,False
117,MIPEP,3,1015,non-depleting,0.0,False,,1.182,0.36262,False,False,False,False,False,2.640456909969682,False,False
118,LUC7L3,3,1021,depleting-at-rest,0.0,False,,0.222,9.0459e-09,False,False,False,False,False,-1.0176432261344432,True,False
119,ATP5F1A,3,1046,non-depleting,0.03346261443329191,False,0.0,0.577,0.71943,False,True,False,False,False,2.1845846424004,True,False
120,CENPE,3,1182,unknown,0.0,False,,0.452,0.00045974,False,True,True,False,False,,False,False
121,PRKAR1A,3,1188,depleting-at-rest,0.0,False,,0.158,1.8995e-09,False,True,False,False,False,-0.1670540846631656,True,False
122,CLPB,3,1206,depleting-at-rest,0.0,False,,0.643,0.99963,True,False,False,False,False,3.8677227465315664,False,False
123,BTAF1,3,1216,non-depleting,0.0,False,,0.213,3.7977e-27,False,False,False,False,False,0.2074614552151361,True,False
124,CTDSPL2,3,1218,non-depleting,0.0,False,,0.184,0.00061148,False,False,False,False,False,0.5877866649021186,True,False
125,ILKAP,3,1251,depleting-at-rest,0.0,False,,0.38,0.00013788,False,False,False,False,False,2.0259528567288494,True,False
126,CLCC1,3,1263,non-depleting,0.0,False,,0.778,0.99767,True,True,False,False,False,1.976970366373615,True,False
127,NDUFS8,3,1268,depleting-at-rest,0.0,False,,0.776,0.95672,True,True,False,True,False,2.262668485588603,True,False
128,NDUFAF3,3,1284,non-depleting,0.0,False,,1.221,0.77343,False,False,False,True,False,5.616251482170338,False,False
129,XBP1,3,1347,non-depleting,0.0,False,,,,,True,False,False,False,1.0020121427768638,True,False
130,RRAGC,3,1365,non-depleting,0.0,False,,0.546,0.058625,False,False,False,False,False,3.2733640101522705,False,False
131,SARS2,3,1430,non-depleting,0.0,False,,1.021,0.88144,False,False,False,False,False,0.2384110234449981,True,False
132,PPP1R15B,3,1488,depleting-at-rest,0.03846795870362719,False,0.0,0.736,0.99934,True,False,False,False,False,-0.1053605156578258,True,False
133,MOV10,3,1496,non-depleting,0.0,False,,0.435,6.2956e-05,False,False,False,False,False,0.3988252095212869,True,False
134,MIA2,3,1562,non-depleting,0.0,False,,0.874,0.99624,True,True,False,False,False,3.3679341957917464,False,False
135,COMMD4,3,1563,non-depleting,0.0,False,,0.983,0.95435,True,True,False,False,False,1.1075809586508698,True,False
136,SKIC8,3,1582,depleting-at-rest,0.0,False,,,,,True,True,False,False,0.9746012901782732,True,False
137,CYC1,3,1619,depleting-at-rest,0.0,False,,0.584,0.1545,False,True,False,False,False,1.4265191624303997,True,False
