Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,group
prerank,KRAS Signaling Dn,0.259199596417301,0.955323836271723,0.5384615384615384,0.7703190330784274,1.0,21/64,21.79%,MX1;SLC25A23;IFI44L;TENT5C;PDK2;MAST3;SIDT1;IDUA;YPEL1;MTHFR;ASB7;TG;MACROH2A2;CELSR2;DTNB;NUDT11;DLK2;CLSTN3;GAMT;SLC5A5;VPS50,top_efficacy
prerank,Hedgehog Signaling,0.3354566927153883,0.9521764866077722,0.5431164901664145,0.7372258464444903,1.0,5/18,12.11%,DPYSL2;MYH9;PML;L1CAM;LDB1,top_efficacy
prerank,UV Response Up,0.22360790135267597,0.9135796885247593,0.647594278283485,0.7993817268915417,1.0,30/112,21.81%,TAP1;BCL2L11;BSG;IRF1;H2AX;PRKACA;CNP;MGAT1;CDK2;PPT1;JUNB;SELENOW;BAK1;AQP3;CDC34;CCND3;RASGRP1;GGH;FOSB;HSPA2;CCNE1;NPTXR;KLHDC3;TST;PLCL1;EPHX1;DLG4;ABCB1;POLE3;FURIN,top_efficacy
prerank,Notch Signaling,0.32748319010484883,0.9112708252263589,0.5756172839506173,0.7662758504037248,1.0,7/17,29.15%,NOTCH1;TCF7L2;MAML2;PSEN2;APH1A;JAG1;PRKCA,top_efficacy
prerank,Wnt-beta Catenin Signaling,0.27095061691089833,0.8673079193432907,0.6710914454277286,0.8276519703889306,1.0,15/30,37.88%,LEF1;HDAC5;NCOR2;NOTCH1;FRAT1;WNT5B;PSEN2;TCF7;AXIN2;JAG1;PTCH1;NCSTN;HDAC11;NKD1;DVL2,top_efficacy
prerank,Epithelial Mesenchymal Transition,-0.1811430179754807,-0.8171176180115047,0.9016393442622951,0.8622479882322402,0.999,19/92,17.58%,CXCL8;RHOB;VEGFA;SDC4;CALU;CD44;CTHRC1;SNTB1;COL6A3;FGF2;COPA;SERPINE2;JUN;TGFBR3;VIM;GADD45A;TNFAIP3;PPIB;CALD1,top_efficacy
prerank,Angiogenesis,0.2933760820726704,0.7915138822898155,0.750392464678179,0.9328962631896134,1.0,6/15,26.82%,LRPAP1;S100A4;TIMP1;ITGAV;JAG1;PDGFA,top_efficacy
prerank,Coagulation,0.2189744486500534,0.7890002164918918,0.8064516129032258,0.8980594948766569,1.0,6/54,6.10%,CLU;GNB2;LAMP2;ISCU;CTSB;GSN,top_efficacy
prerank,Pperoxisome,0.18642318443248296,0.7188485790127828,0.9505208333333334,0.9392676868840638,1.0,22/80,27.44%,ABCD2;IDH2;MVP;GSTK1;TOP2A;HSD3B7;ECH1;SLC35B2;MLYCD;ELOVL5;PEX14;CAT;DLG4;ABCB1;SLC25A19;ACOX1;SCP2;CRABP2;CRAT;LONP2;PEX6;ATXN1,top_efficacy
prerank,Myc Targets V1,-0.7613175412033788,-3.497017267677022,0.0,0.0,0.0,91/139,14.93%,CBX3;CCT4;TFDP1;HSPE1;GOT2;PA2G4;SRM;TCP1;CDC45;EIF3J;PPM1G;SNRPG;MCM6;C1QBP;SNRPB2;HSP90AB1;HSPD1;SRSF2;CCT5;XPOT;MCM7;SERBP1;EIF2S2;EIF4A1;HNRNPD;TUFM;MCM4;ILF2;IARS1;ODC1;PSMD3;NME1;PSMA4;PABPC4;GSPT1;AIMP2;SLC25A3;TOMM70;PSMD1;VDAC1;CTPS1;SF3B3;DUT;SRPK1;CDK4;NOLC1;APEX1;PRDX3;SNRPD2;TRIM28;EXOSC7;CYC1;MCM5;MAD2L1;RRP9;NDUFAB1;PSMD7;SYNCRIP;TXNL4A;HNRNPC;RNPS1;HDAC2;SRSF7;HNRNPA2B1;HDDC2;EIF4G2;FAM120A;GLO1;PRPF31;PSMC6;IMPDH2;RFC4;CDC20;CAD;ABCE1;EIF4E;MYC;HPRT1;EEF1B2;EPRS1;UBA2;KPNA2;HNRNPA3;RAD23B;VBP1;VDAC3;PSMD14;CANX;USP1;H2AZ1;DHX15,magnitude_control
prerank,Myc Targets V2,-0.8200286915045989,-2.9501426715904664,0.0,0.0,0.0,27/34,11.52%,CBX3;HSPE1;PA2G4;SRM;HSPD1;DCTPP1;MCM4;PRMT3;AIMP2;PUS1;NDUFAF4;NIP7;CDK4;IMP4;NOLC1;PPRC1;MCM5;TBRG4;RRP9;TFB2M;RABEPK;SLC29A2;PLK1;MYC;TMEM97;SLC19A1;SUPV3L1,magnitude_control
prerank,Unfolded Protein Response,-0.6662743822566699,-2.884789532308081,0.0,0.0,0.0,43/88,12.98%,PSAT1;SLC7A5;LSM4;CHAC1;EIF4EBP1;XPOT;PREB;EIF4A1;MTREX;SRPRB;DKC1;EIF4G1;IARS1;WIPI1;SPCS3;ATF4;PDIA6;HSPA5;FUS;SERP1;XBP1;NOLC1;SLC1A4;SRPRA;MTHFD2;SPCS1;SSR1;RRP9;HSPA9;HSP90B1;PDIA5;IFIT1;DNAJA4;KHSRP;EIF4E;LSM1;YIF1A;CEBPG;NFYB;PAIP1;DNAJC3;HYOU1;EXOSC9,magnitude_control
prerank,mTORC1 Signaling,-0.5546961653198047,-2.6982759428384386,0.0,0.0,0.0,77/176,10.82%,FADS2;CORO1A;PSAT1;SLC1A5;SLC7A5;LGMN;HSPE1;SDF2L1;INSIG1;SCD;EBP;FADS1;CCT6A;CYP51A1;PSMG1;HSPD1;DDX39A;ATP2A2;HMBS;ARPC5L;SLC7A11;UCHL5;EIF2S2;GOT1;DHCR24;EEF1E1;UBE2D3;ABCF2;PSMA3;MCM4;IMMT;TRIB3;PSMA4;PSME3;PRDX1;HMGCS1;CTH;CYB5B;HSPA5;ADIPOR2;HSPA4;TOMM40;TUBA4A;PNP;SERP1;XBP1;PSPH;PNO1;SLC1A4;ACSL3;MTHFD2;SSR1;RRM2;RRP9;NAMPT;HSPA9;CDC25A;TXNRD1;HSP90B1;IDI1;PSMC2;STIP1;PSMD12;ACLY;PSMC6;RPN1;POLR3G;WARS1;PLK1;HPRT1;ELOVL6;RAB1A;YKT6;TMEM97;EPRS1;PHGDH;DHCR7,magnitude_control
prerank,E2F Targets,-0.519530545542394,-2.4966872261541115,0.0,0.0,0.0,82/182,20.22%,PA2G4;MYBL2;MCM6;DDX39A;CKS2;PRKDC;SRSF2;MCM7;PAICS;PRPS1;HNRNPD;DCTPP1;EED;SSRP1;MCM4;SMC1A;UBE2S;NME1;TRIP13;LYAR;DEPDC1;GSPT1;EXOSC8;DSCC1;LBR;CTPS1;DUT;DNMT1;CDK4;NOLC1;TUBB;MTHFD2;MCM5;POP7;TBRG4;MAD2L1;RRM2;CSE1L;HMMR;CDC25A;SYNCRIP;RFC3;BIRC5;RFC1;CDC20;RNASEH2A;ASF1A;MCM3;PLK1;MYC;ILF3;LMNB1;KPNA2;UBE2T;CNOT9;SMC4;TUBG1;TMPO;GINS1;ANP32E;RFC2;EZH2;USP1;H2AZ1;MMS22L;POLD1;MKI67;XPO1;AURKA;SNRPB;MLH1;MSH2;ASF1B;CHEK1;POLD3;MELK;TRA2B;BRCA1;POLA2;DLGAP5;NUP107;CDKN3,magnitude_control
prerank,p53 Pathway,0.5260183013808124,2.310707561002588,0.0,0.0,0.0,65/158,15.09%,SESN1;FDXR;RNF19B;ZMAT3;BAX;MDM2;PRKAB1;CDKN1A;TRAFD1;IRAG2;ISCU;TAP1;NINJ1;PRMT2;DDB2;FAS;ZFP36L1;IER5;HINT1;PHLDA3;VDR;FOXO3;POLH;PLXNB2;VAMP8;BTG2;CTSD;KIF13B;SAT1;DRAM1;RRAD;S100A10;TCN2;RALGDS;MKNK2;IP6K2;MXD4;DEF6;STOM;NDRG1;PITPNC1;ABHD4;MXD1;CCNG1;TM7SF3;DGKA;HDAC3;PDGFA;IFI30;H2AJ;AEN;SLC35D1;ADA;PLK2;JUN;COQ8A;BTG1;BLCAP;TNFSF9;CYFIP2;PTPN14;VWA5A;FBXW7;BAK1;DCXR,magnitude_control
prerank,G2-M Checkpoint,-0.4730832695647593,-2.2621846088452866,0.0,0.0,0.0,66/173,17.71%,SLC7A5;TFDP1;CDC45;MYBL2;SLC7A1;MCM6;UCK2;DDX39A;CKS2;SRSF2;HNRNPD;HIRA;SFPQ;SLC38A1;DKC1;SMC1A;ODC1;UBE2S;E2F4;GINS2;GSPT1;LBR;CDC6;AMD1;CDK4;NOLC1;MCM5;MAD2L1;HMMR;CDC25A;SYNCRIP;DTYMK;DBF4;BIRC5;TGFB1;CDC20;MCM3;PLK1;MYC;ILF3;CENPA;DR1;PRMT5;LMNB1;KPNA2;EWSR1;MTF2;SRSF10;RAD23B;SMC4;TMPO;CUL4A;EZH2;H2AZ1;TPX2;MKI67;MNAT1;XPO1;CCNF;AURKA;SQLE;CHEK1;PBK;CDC27;CHAF1A;POLQ,magnitude_control
prerank,Hypoxia,0.5279877969055383,2.2502848312126402,0.0,0.0,0.0,59/133,21.91%,BNIP3L;NFIL3;PNRC1;CXCR4;ENO2;PLAC8;CDKN1A;CCNG2;KDM3A;KLHL24;MYH9;ISG20;FOXO3;CDKN1B;ALDOC;HEXA;MT2A;MXI1;ATP7A;PFKFB3;MIF;ZNF292;WSB1;RRAGD;KLF6;ERO1A;NDRG1;BHLHE40;PRKCA;BCL2;CAVIN1;SLC2A3;AMPD3;P4HA2;ANKZF1;NAGK;JMJD6;JUN;AK4;BTG1;IRS2;SERPINE1;MAP3K1;P4HA1;IDS;ZFP36;PDK3;NR3C1;TIPARP;ENO1;PDK1;GBE1;EXT1;MAFF;SAP30;PIM1;CAV1;ENO3;GAA,magnitude_control
prerank,Interferon Alpha Response,0.5335068038810755,2.138264714835008,0.0,0.0,0.0,50/90,22.37%,GBP2;TMEM140;TRAFD1;CASP8;TAP1;PSME1;GBP4;ISG20;NUB1;ADAR;PARP9;IRF9;LY6E;IRF7;PARP14;CD47;SP110;MX1;UBE2L6;SAMD9L;IRF1;STAT2;LAMP3;IFIH1;SELL;SAMD9;PLSCR1;MOV10;USP18;IFI44L;HERC6;IRF2;IFI30;IFITM2;CMTR1;PSMB9;HELZ2;TRIM14;LPAR6;EPSTI1;IL4R;OAS1;TXNIP;IFI35;UBA7;TRIM21;TDRD7;EIF2AK2;ISG15;IFITM3,magnitude_control
prerank,Oxidative Phosphorylation,-0.4226242748771351,-2.055103083726731,0.0,0.0001362003507159031,0.001,70/176,17.69%,CYCS;TIMM10;TIMM13;TOMM22;GOT2;SLC25A5;FH;FXN;LDHB;AFG3L2;DLAT;IMMT;ATP5PB;SLC25A3;TOMM70;NDUFA8;VDAC1;SLC25A4;NDUFC2;PRDX3;CYC1;UQCRFS1;NDUFS1;NDUFAB1;HSPA9;TIMM17A;ATP5F1C;ETFA;TIMM50;NDUFB3;SDHB;NDUFB7;ACADM;ATP5F1B;HSD17B10;ACO2;AIFM1;PDHA1;COX7A2L;IDH3A;OXA1L;ATP5MC3;GLUD1;IDH3B;MTRR;NDUFS6;ATP5ME;SUPV3L1;DLD;TIMM9;NDUFC1;CPT1A;LRPPRC;VDAC3;MTX2;NDUFV2;ACAT1;NDUFB6;MTRF1;HCCS;SLC25A12;NDUFS3;UQCR10;POR;ATP5F1D;ATP5PD;ATP6V1E1;TIMM8B;COX10;ATP5MF,magnitude_control
prerank,Interferon Gamma Response,0.458701879316793,2.0260196922179694,0.0,0.00025606803650133464,0.001,77/172,22.37%,STAT3;CDKN1A;TRAFD1;CASP8;TAP1;PSME1;GBP4;ZNFX1;FAS;ISG20;PTPN1;STAT1;CD69;ADAR;IL10RA;IRF9;MVP;LY6E;IRF7;PARP14;NLRC5;VAMP8;JAK2;MT2A;SOCS3;ARID5B;SP110;MX1;VAMP5;SOD2;UBE2L6;SAMD9L;IRF1;TAPBP;STAT2;IFIH1;CD274;HIF1A;NCOA3;PLSCR1;USP18;IFI44L;SECTM1;HERC6;IFNAR2;PML;ST8SIA4;IRF2;IFI30;CD38;BTG1;IFITM2;CMTR1;PSMB9;HELZ2;FGL2;TRIM14;C1R;XCL1;OAS3;EPSTI1;IL4R;RAPGEF6;TXNIP;IFI35;TRIM21;XAF1;GPR18;PIM1;TDRD7;IRF5;EIF2AK2;OAS2;CD40;ICAM1;ISG15;IFITM3,magnitude_control
prerank,Androgen Response,-0.4662064635716868,-1.9944820408598138,0.0,0.00023835061375283043,0.002,22/74,9.53%,PA2G4;INSIG1;SCD;FADS1;UAP1;DHCR24;SLC38A2;SPCS3;ACTN1;HMGCS1;ANKH;ADRM1;SMS;SGK1;ACSL3;GPD1L;HPGD;SRF;IDI1;UBE2J1;TPD52;DBI,magnitude_control
