gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,tol_mean_z,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,rest_qc_class,rest_qc_fail_reason,selectivity,efficacy,tolerance_loss,efficacy_lfc,tolerance_loss_lfc,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_direction,fail_evidence,fail_tolerance,fail_homeostasis,homeostasis_verdict,safe,reject_reason,window_score,window_rank
TMEM126B,-0.6241367655302043,-1.0219412392250722,8,-0.14985244138665346,-0.1282982078646598,1,441,532.0,28.0,rest_qc_pass,-,2.7240140520912237,1.0219412392250722,0.1282982078646598,0.6241367655302043,0.14985244138665346,437.0,0.8047882136279927,0.28379296600059134,non-depleting,False,False,False,False,False,False,pass,True,-,2.3970976051423962,45
CAST,-0.7002942447866916,-1.1853043583545628,1,-0.21084147453983748,-0.27522901698811114,0,2,319.0,0.0,rest_qc_fail,ontarget_ns,1.0986122886681098,1.1853043583545628,0.27522901698811114,0.7002942447866916,0.21084147453983748,235.0,0.43278084714548803,0.4408956671998697,depleting-at-rest,False,False,False,True,False,True,indeterminate,False,evidence,2.392529291093443,46
DNAJA4,-0.4447747225679811,-0.8733916325962087,1,-0.28090784772977634,0.012922979637203224,0,5,206.0,6.0,rest_qc_pass,-,-0.15415067982725827,0.8733916325962087,-0.012922979637203224,0.4447747225679811,0.28090784772977634,264.0,0.4861878453038674,-0.3578935921752351,depleting-at-rest,False,False,False,True,False,True,fail,False,evidence,2.3867424109237487,47
SNX19,-0.514485669660005,-1.0033295752306843,0,-0.13341550412963452,-0.117637446520939,0,2,725.0,1.0,rest_qc_pass,-,0.4054651081081645,1.0033295752306843,0.117637446520939,0.514485669660005,0.13341550412963452,846.0,1.558011049723757,-0.22267666821765297,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3810054304209385,48
SLC25A51,-0.5207259967814758,-0.8774574422024366,2,-0.2023516359039897,-0.006660019904691832,0,103,626.0,193.0,rest_qc_pass,-,-0.6234672599219557,0.8774574422024366,0.006660019904691832,0.5207259967814758,0.2023516359039897,680.0,1.2523020257826887,-0.1193720892050835,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3784213794752027,49
EML2,-0.5225273485415594,-0.8670410096947085,3,0.2773131009962299,0.6271012251589261,0,309,412.0,59.0,rest_qc_pass,-,1.6422277352570918,0.8670410096947085,-0.6271012251589261,0.5225273485415594,-0.2773131009962299,397.0,0.7311233885819521,0.053505330040260694,non-depleting,False,False,False,False,False,True,fail,True,-,2.3713102533149164,50
BBS1,-0.49939854069640677,-0.8667672236530111,0,-0.09909706358379311,0.01441693520723771,0,3,504.0,2.0,rest_qc_pass,-,0.2876820724517808,0.8667672236530111,-0.01441693520723771,0.49939854069640677,0.09909706358379311,460.0,0.8471454880294659,0.13178987255554112,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.370644947027312,51
TDRKH,-0.4255971121976347,-0.866726988301767,0,-0.006730444472093089,0.2511520018418547,0,3,473.0,2.0,rest_qc_pass,-,0.2876820724517808,0.866726988301767,-0.2511520018418547,0.4255971121976347,0.006730444472093089,534.0,0.9834254143646409,-0.17499955834815864,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.3705471742117195,52
PFDN5,-0.430427778346575,-0.9591626746693082,0,0.051721319844850906,-0.08973833920149286,0,7,381.0,218.0,rest_qc_pass,-,-3.309630188136665,0.9591626746693082,0.08973833920149286,0.430427778346575,-0.051721319844850906,481.0,0.8858195211786372,-0.3362458962767199,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.349923797404813,53
BHLHE40,-0.895752420263014,-1.7102517116492764,13,-0.13818711896299865,-0.7579982200523717,4,1687,864.0,465.0,rest_qc_pass,-,1.2871140410302573,1.7102517116492764,0.7579982200523717,0.895752420263014,0.13818711896299865,1028.0,1.8931860036832413,-0.25073704703040955,non-depleting,False,False,False,False,False,True,fail,True,-,2.348812542111208,54
CARD6,-0.5693273477862933,-1.0862132243543108,2,-0.04659506176818103,-0.20678766574085122,0,78,568.0,55.0,rest_qc_pass,-,0.34409616173187185,1.0862132243543108,0.20678766574085122,0.5693273477862933,0.04659506176818103,595.0,1.0957642725598526,-0.06699873869062373,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.338777648426214,55
VAMP1,-0.4329142054863987,-0.9089054441169686,0,0.03472039247471193,-0.05246480863084974,0,3,560.0,2.0,rest_qc_pass,-,0.2876820724517808,0.9089054441169686,0.05246480863084974,0.4329142054863987,-0.03472039247471193,610.0,1.1233885819521179,-0.12338241550528213,non-depleting,False,False,False,True,False,True,fail,False,evidence,2.329661706374862,56
