gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
ZNF331,0.3180888487392788,1.0,1,False,-0.10911
MED14,0.4748752746036891,120.0,135,True,0.91824
FLOT1,-0.0792191317082674,4.0,1,False,0.064808
ZNF561,0.0036465904473993,13.0,5,False,0.017494
MSH5,0.1777120196495578,8.0,11,False,-0.16886
SETDB1,-0.0837431543399372,2291.0,1184,False,0.11461
ZNF891,-0.0851153672767045,1.0,4,False,-0.050999
MXD4,-0.0859267814071188,2.0,1,False,-0.02178
ZNF484,-0.0873473691447901,1.0,1,False,0.072723
ZNF266,0.6735254609504092,1.0,1,False,-0.023191
ZNF90,0.8029437704988487,4.0,2,False,-0.020943
ZNF180,-0.0900277937173971,12.0,3,False,-0.0044549
PBX4,0.1896053238597935,1.0,4,False,0.0043918
POU2AF1,-0.0990379768952179,3.0,3,False,-0.018049
ZNF273,-0.1017662799817524,2.0,3,False,-0.066355
REL,1.02719764338695,3.0,2,False,0.17647
SMAD5,0.1714109910487793,2.0,1,False,-0.0013082
TFE3,0.3526237094095516,6.0,15,False,0.076409
GABPA,-0.1038127147046892,66.0,16,True,0.3841
ZBTB33,-0.1040451553972015,17.0,56,False,-0.12206
ZNF354C,0.2832305977443534,4.0,2,False,-0.035745
ZNF778,-0.1080285720206948,1.0,1,False,0.12628
AKT1,-0.0794505445089161,2.0,4,False,-0.054766
ZNF777,-0.1144490088506123,1.0,4,False,-0.017122
GZMA,0.2104458048983425,2.0,1,False,0.17425
RFX2,0.0247577349794904,1.0,4,False,0.058026
ZNF3,0.1875297296440999,1.0,2,False,-0.20713
FOSL2,0.4424900308057028,35.0,198,False,-0.012063
ZNF789,-0.1192865095613386,1.0,1,False,-0.094884
FOXO4,-0.08171638776831,14.0,12,False,-0.11039
TCFL5,0.2376733906510358,30.0,1,False,-0.070835
CCR7,-0.1279781738948547,3.0,3,False,0.0090469
NAIF1,0.6529523491866818,16.0,20,False,0.017709
ZNF766,-0.0769536292823178,4.0,4,False,0.060648
ZSCAN9,-0.1300483069799316,0.0,2,False,-0.087754
ZNF26,0.9196629876124488,1.0,1,False,-0.10865
KLF9,0.1115322498504675,6.0,4,False,0.0033019
ZNF260,-0.0600639274292775,2.0,1,False,-0.069373
MXI1,-0.133870275631239,1.0,31,False,0.011141
ZNF250,-0.0359359448083484,1.0,1,False,-0.04928
SMAD1,-0.1453961861124725,5.0,2,False,-0.085694
ZNF444,0.1858254518872634,18.0,14,False,0.042856
ZNF140,-0.1497016563563623,2.0,2,False,-0.055834
VDR,0.5286228693316557,1.0,2,False,0.020648
ZNF212,-0.1551584505732564,1.0,1,False,-0.02231
NR1H2,0.1555894761440052,4.0,3,False,0.053749
NR3C1,0.2777356953267877,3.0,3,False,0.048519
ZNF613,-0.1593385722231594,789.0,676,False,0.35179
ZFX,0.8892035144923006,35.0,12,False,0.16271
ZNF558,0.5493762171701906,1.0,1,False,0.061179
ZSCAN30,0.3968700938018568,1.0,1,False,0.064665
DEAF1,-0.1615492237937549,10.0,17,False,-0.0039518
ZNF23,1.0780426682351296,0.0,1,False,-0.020829
ZNF22,0.5268126043266368,3.0,1,False,-0.11265
ETV3,0.9252805407169408,5.0,1,False,0.03246
DPF3,0.302206165561531,1.0,2,False,0.11392
ZKSCAN1,-0.1725495575162615,3.0,2,False,-0.058956
ZBTB7A,-0.1790419213447509,543.0,46,True,0.7751
ZNF317,-0.1832961342112293,13.0,13,False,0.10265
ZNF790,0.5562414616525859,1.0,2,False,0.012192
CCR5,-0.187195425476254,1.0,2,False,0.0024514
REST,0.0749576025775643,125.0,49,False,0.1925
ZNF697,-0.0935007260499757,7.0,2,False,-0.036203
FOXN2,-0.1902432415986622,255.0,203,False,-0.14717
ZBTB6,-0.1919399676019164,1.0,2,False,0.048963
ZNF580,0.1061434630388493,1.0,1,False,-0.14398
E2F7,0.931874282258284,6.0,2,False,-0.10333
HES6,0.1008018085029427,2.0,1,False,-0.068437
FOXK2,0.1739642057565432,1.0,2,False,-0.0422
ZNF691,0.0643252937711233,5.0,1,False,0.090372
ZNF626,0.2162896364578551,2.0,2,False,0.43204
PPT2,-0.199134025373304,0.0,1,False,-0.067743
HSPA1B,-0.0254608832765176,5.0,6,False,0.10767
ZNF296,0.5904262025968372,2.0,30,False,0.057449
CCR1,0.1612607849980511,0.0,2,False,-0.053153
FOXK1,0.5267916301701597,157.0,140,False,0.036961
ZNF620,-0.218126857777615,2.0,1,False,-0.092599
CD274,0.1232462878593212,24.0,102,False,-0.037885
IRF5,0.6503610139269238,0.0,1,False,-0.23144
ZBTB44,0.0198317852158067,138.0,143,False,-0.035976
ZNF436,-0.2230838251745579,3.0,5,False,-0.021931
ZNF681,-0.2232228263446237,2.0,1,False,0.050217
ZNF696,0.0198450672086904,13.0,22,False,0.14979
SS18,-0.0742091695660336,17.0,11,True,0.30491
LIN54,0.3461650254203854,8.0,5,False,0.048419
ZFP30,-0.2302980063176754,1.0,1,False,0.08069
BTN3A1,0.0662434838756008,4.0,2,False,-0.096607
BTN3A2,0.0532097110011142,4.0,2,False,-0.13062
NFKBIL1,-0.2394938720306889,91.0,33,False,-0.069466
RAD21,0.7732745426637282,1.0,39,False,0.12999
ZNF589,0.0398771370893238,53.0,13,False,-0.10596
ZNF557,-0.2427171941555176,1.0,3,False,-0.095219
