gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,selectivity,efficacy,tolerance_loss,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_evidence,fail_homeostasis,fail_tolerance,safe,reject_reason,window_score,window_rank,loeuf,pli,n_tissues_expressed,n_nonimmune_tissues,max_nonimmune_ntpm,is_ceg,is_neg,lof_intolerant,ubiquitous,systemic_risk
ZNF227,0.1151920278636053,0.3313447150889173,0,-0.088504623122816,0,5,437.0,3.0,0.4054651081081644,-0.1151920278636053,0.088504623122816,422.0,0.7771639042357275,0.0503902807934133,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8326431861178665,4794,1.159,0.012192,51.0,45.0,10.2,False,False,False,True,True
ITPRID2,-0.1287563720380695,-0.2628198686279224,0,-0.2629562492118256,0,1,850.0,1.0,0.0,0.1287563720380695,0.2629562492118256,848.0,1.561694290976059,0.0033985764618648,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8333296948686983,4795,0.637,1.3142e-06,51.0,45.0,165.7,False,False,False,True,True
LRATD2,-0.078074958954462,0.1099474514620496,0,-0.3209752630651439,0,3,326.0,1.0,0.6931471805599453,0.078074958954462,0.3209752630651439,253.0,0.4659300184162062,0.3657345795367675,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8343272560734841,4796,1.613,3.4662e-06,51.0,45.0,41.1,False,False,False,True,True
STIM2,-0.1129651897899763,-0.1905872936226237,0,-0.1410189254984476,0,1,976.0,3.0,-0.6931471805599453,0.1129651897899763,0.1410189254984476,961.0,1.7697974217311234,0.0223447167891357,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8353824211940395,4797,0.506,0.96128,51.0,45.0,59.3,False,False,True,True,True
ARHGDIA,-0.1349233559841391,-0.1995488839329301,0,-0.2694234584542264,0,1,1040.0,1.0,0.0,0.1349233559841391,0.2694234584542264,890.0,1.6390423572744015,0.2247062871746943,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8356137462358266,4798,0.607,0.76631,51.0,45.0,302.4,False,False,False,True,True
SPECC1L,-0.0471051368354108,-0.2700224794846175,0,-0.0772294667108026,0,2,548.0,5.0,-0.6931471805599452,0.0471051368354108,0.0772294667108026,531.0,0.9779005524861878,0.0454640321563729,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8362057242352577,4799,0.435,0.99994,51.0,45.0,29.8,False,False,True,True,True
NCF2,0.0267620064915947,0.0918220702179973,0,-0.1125719086004301,0,1,810.0,1.0,0.0,-0.0267620064915947,0.1125719086004301,768.0,1.4143646408839778,0.0768155970508309,non-depleting,True,False,True,True,False,False,"evidence,homeostasis",-0.8364428680138257,4800,0.8,7.901e-10,48.0,42.0,61.2,False,False,False,True,True
BMI1,-0.160327177078968,-0.1418941809820502,0,-0.163655883946598,0,14,137.0,34.0,-0.8472978603872034,0.160327177078968,0.163655883946598,122.0,0.2246777163904235,0.1672947453976404,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8374991010272397,4801,0.413,0.99929,51.0,45.0,53.5,False,False,True,True,True
ANXA2R,0.0784500188527945,0.3733234189782267,0,0.1032935802376409,0,1,516.0,2.0,-0.4054651081081645,-0.0784500188527945,-0.1032935802376409,548.0,1.0092081031307552,-0.0868048275372726,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8375673958794498,4802,,,48.0,42.0,10.5,False,False,False,True,True
FAAP20,-0.4751147471209962,-0.4498047121315854,0,-0.5213425573835098,0,2,162.0,4.0,-0.5108256237659905,0.4751147471209962,0.5213425573835098,97.0,0.1786372007366482,0.7399371606974972,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8375787318392944,4803,1.34,2.1113e-05,51.0,45.0,74.4,False,False,False,True,True
SNRPA,0.0149269803329924,0.3654794946061382,0,-0.424821137506074,0,6,169.0,0.0,1.9459101490553128,-0.0149269803329924,0.424821137506074,126.0,0.2320441988950276,0.4235995127822677,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8377890044263443,4804,0.711,0.32697,51.0,45.0,82.5,False,False,False,True,True
ZNF41,-0.042822229234725,0.113088119842639,0,-0.1804460310057407,0,1,955.0,1.0,0.0,0.042822229234725,0.1804460310057407,1013.0,1.865561694290976,-0.0850615358780271,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8378550946529191,4805,,,43.0,37.0,17.0,False,False,False,False,False
FABP5,-0.056295881179197,0.0154826586054188,0,-0.1309941495252346,0,1,376.0,2.0,-0.4054651081081645,0.056295881179197,0.1309941495252346,452.0,0.8324125230202578,-0.2655901107375504,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8381985004918393,4806,0.84,0.4513,51.0,45.0,4866.2,False,False,False,True,True
MCCC2,-0.279437701480116,-0.4589923103337938,0,-0.2408228122390578,0,5,677.0,17.0,-1.0986122886681096,0.279437701480116,0.2408228122390578,631.0,1.1620626151012892,0.1015158285924476,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8389123640960443,4807,0.833,1.8141e-10,51.0,45.0,109.5,False,False,False,True,True
JMJD8,-0.0411588673426858,0.2872880932063919,0,-0.0720428079338486,0,2,714.0,5.0,-0.6931471805599452,0.0411588673426858,0.0720428079338486,642.0,1.1823204419889504,0.1533507769067965,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8390165726919268,4808,1.93,5.9511000000000004e-27,51.0,45.0,58.1,False,False,False,True,True
ARPC5,0.0707351332373193,0.4768591124663257,0,-0.0359656290385896,0,3,805.0,4.0,-0.2231435513142097,-0.0707351332373193,0.0359656290385896,895.0,1.6482504604051564,-0.1528988991496394,non-depleting,True,False,True,True,False,False,"evidence,homeostasis",-0.839098028801996,4809,0.726,0.71772,51.0,45.0,110.5,False,False,False,True,True
PIAS4,-0.248327040479714,-0.2880045971974177,0,-0.3805085288198677,0,1,342.0,1.0,0.0,0.248327040479714,0.3805085288198677,400.0,0.7366482504604052,-0.2260036748888268,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8401536416985873,4810,0.249,1.0,51.0,45.0,36.6,False,False,True,True,True
NAP1L5,0.0790324625698335,0.412673975576004,0,0.1631615137024093,0,1,1978.0,2.0,-0.4054651081081645,-0.0790324625698335,-0.1631615137024093,2066.0,3.804788213627993,-0.0627978281059487,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8402704212340681,4811,1.884,0.30211,51.0,45.0,127.0,False,False,False,True,True
USP16,-0.2621229417772017,-0.3757632995066703,0,-0.254878053933676,0,12,450.0,31.0,-0.9007865453381898,0.2621229417772017,0.254878053933676,486.0,0.8950276243093923,-0.1110313123887438,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8404610354381576,4812,1.007,1.2733e-17,51.0,45.0,39.1,False,False,False,True,True
SPIN4,-0.1138455754033028,-0.2118041014256227,0,-0.3126462850502114,0,2,939.0,1.0,0.4054651081081645,0.1138455754033028,0.3126462850502114,957.0,1.7624309392265194,-0.027393766832251,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8407938779436781,4813,,,46.0,40.0,6.8,False,False,False,True,True
GGCT,0.2082341101379305,0.5648401019416691,0,0.0514143753755325,0,2,466.0,1.0,0.4054651081081645,-0.2082341101379305,-0.0514143753755325,388.0,0.714548802946593,0.2642733024671525,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8415106824129441,4814,1.336,4.8174e-05,51.0,45.0,99.3,False,False,False,True,True
PHTF1,-0.0470340820551259,0.248913656413288,0,0.3758844868117109,0,2,932.0,9.0,-1.203972804325936,0.0470340820551259,-0.3758844868117109,1092.0,2.0110497237569063,-0.2285709962655722,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8444134175006617,4815,0.994,1.4014e-09,51.0,45.0,28.4,False,False,False,True,True
MINDY3,-0.0256593638960476,-0.0442984400416524,0,-0.2279363298271756,0,2,373.0,1.0,0.4054651081081645,0.0256593638960476,0.2279363298271756,410.0,0.7550644567219152,-0.1364482792502082,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8452591616781395,4816,0.735,0.098182,51.0,45.0,22.0,False,False,False,True,True
RFX7,-0.0901815533343064,-0.1953258607490939,0,-0.2281172498371599,0,2,257.0,2.0,0.0,0.0901815533343064,0.2281172498371599,207.0,0.3812154696132597,0.3121375916945528,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8458684989558274,4817,0.3,1.0,50.0,44.0,8.4,False,False,True,True,True
ADK,-0.2163161581079093,-0.3144065198318692,0,-0.2881658759403228,0,1,956.0,2.0,-0.4054651081081645,0.2163161581079093,0.2881658759403228,886.0,1.6316758747697977,0.1097039194257301,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8466267523888719,4818,0.893,0.00021484,51.0,45.0,141.2,False,False,False,True,True
PRR14,-0.2167004598956308,-0.2412291526122507,0,-0.3512069976209629,0,1,314.0,1.0,0.0,0.2167004598956308,0.3512069976209629,345.0,0.6353591160220995,-0.1358318027739044,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8469079930210961,4819,0.769,3.5888e-06,51.0,45.0,38.1,False,False,False,True,True
CRIP1,-0.0476598206235122,0.0009399001887122,0,-0.1870809728517274,0,1,887.0,1.0,0.0,0.0476598206235122,0.1870809728517274,804.0,1.4806629834254144,0.1417386031221353,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8471101597938897,4820,1.449,0.00027512,50.0,44.0,548.9,False,False,False,True,True
GTDC1,-0.3469500763761979,-0.4318600275825914,0,-0.399176944363746,0,2,141.0,4.0,-0.5108256237659905,0.3469500763761979,0.399176944363746,123.0,0.2265193370165746,0.1970368470595535,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8485930003593966,4821,1.493,9.4162e-08,51.0,45.0,17.8,False,False,False,True,True
GSK3B,-0.0997010781646119,-0.1998297863491293,0,-0.2381177196480468,0,1,689.0,1.0,0.0,0.0997010781646119,0.2381177196480468,646.0,1.1896869244935544,0.0929698180103665,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8494778910605835,4822,0.513,0.89836,51.0,45.0,21.9,False,False,True,True,True
ABRACL,-0.1693764443500094,-0.1504778754932136,0,-0.3059803312703169,0,1,711.0,1.0,0.0,0.1693764443500094,0.3059803312703169,653.0,1.2025782688766111,0.1227665680729845,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8504121911740772,4823,1.244,0.11373,51.0,45.0,128.5,False,False,False,True,True
PCMTD2,-0.1293190797126873,-0.1430254484586585,0,-0.3297935499212494,0,2,606.0,1.0,0.4054651081081645,0.1293190797126873,0.3297935499212494,642.0,1.1823204419889504,-0.0832555036493522,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8509232880438424,4824,0.865,0.014482,51.0,45.0,164.6,False,False,False,True,True
SLC7A6,0.1457966062442667,0.1250050242018063,0,0.3682004402858905,0,6,236.0,6.0,0.0,-0.1457966062442667,-0.3682004402858905,125.0,0.2302025782688766,0.916858764699754,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8509301631074722,4825,0.754,0.00026201,51.0,45.0,67.0,False,False,False,True,True
